Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0.13,0.86,1.47,15,17.67,25,9.33,4.67,33.83,22.67,20
0.14,2.18,1.25,45,52.17,61.67,20.17,3.5,22.67,56.67,46.67
0.15,0.71,2.1,6.66,17,25,14.5,4.33,32.84,15.67,15
0.15,0.73,1.23,10,15.17,23.33,11.17,3.83,26.5,17.17,10
0.15,0.84,1.23,8.33,15.5,21.66,7.33,1.5,40,14.17,18.33
0.15,0.9,1.45,13.33,22.5,28.34,10.67,1,40.83,16.67,26.67
0.15,0.91,1.42,10,16,25,6.17,1.17,28.17,15.33,21.67
0.15,0.94,1.22,6.66,14,23.34,9.67,4.17,40.95,21.5,13.33
0.15,0.94,2.55,6.66,12.5,26.67,12.5,3.17,34.33,15.17,21.67
0.15,0.95,1.27,11.67,13.83,21.67,10.17,5,39.5,22.5,16.67
0.15,0.99,1.58,15,13.16,23.33,10,1.5,36,22.5,30
0.15,1.19,2.73,21.66,19.5,38.34,8.83,3.17,30.83,23.5,20
0.15,1.22,0.92,13.33,16.17,20,6,1.67,29.83,23.83,33.33
0.17,0.75,1.9,10,16.67,21.67,6.83,3.5,33.5,16.17,15
0.17,0.75,2.36,5,13.16,26.66,10.67,3.17,30.33,19.83,16.67
0.17,0.8,0.89,11.66,15.67,21.67,6,4,35.16,15.17,10
0.17,0.8,1.83,13.33,14.16,26.67,5.5,3.5,35,13.83,23.33
0.17,0.9,2.43,3.34,15,26.67,10.67,3.5,41.25,19.67,16.67
0.17,0.97,0.83,20,14,33.33,10.67,3.67,31.17,23.5,10
0.17,1.05,1.34,10,17.17,21.67,5,1.17,30,18.17,15
0.17,1.06,0.72,8.33,15,20,6,2,29.67,14.83,11.67
0.17,1.06,1.32,11.67,13.16,23.33,5.83,1.67,41,29,10
0.17,1.07,2.57,8.33,16,18.33,13,1.83,28.17,17.17,15
0.17,1.09,1.48,10,18.83,25,11.17,2.5,32.17,16.17,18.33
0.18,0.75,1.34,16.67,13.5,25,8.83,1.5,33.67,20,16.67
0.18,0.75,2.45,6.66,13.66,25,9,3.17,26.17,27.5,11.67
0.18,0.76,1.62,10,17.16,23.33,11.33,2.67,36.66,15,10
0.18,0.77,1.3,13.33,15.83,21.66,11.67,2.67,40,24.33,25
0.18,0.8,0.91,8.33,12.34,23.34,7.17,3.33,29.17,31,10
0.18,0.8,1.68,13.33,19.5,26.67,8,6.33,34.83,16.33,10
0.18,0.9,2.98,13.33,14,18.33,6.67,3.5,35.67,18.67,18.33
0.18,0.91,2.97,10,12,30,10.33,3.33,22.83,21,18.33
0.18,0.97,0.93,18.33,13.66,30,7,3.83,40.67,14.67,18.33
0.18,1.03,1.23,6.66,15.33,18.33,6.33,3.17,29,18.83,21.67
0.18,1.04,0.7,8.33,13,21.67,5.67,1.67,26.83,16.67,10
